Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q
CBRE,2021,Q,3,San Francisco Peninsula,Burlingame,,Manufacturing,426844,0.13,92774,,1.45,,
CBRE,2021,Q,3,San Francisco Peninsula,North County,,Industrial,26167877,0.056,68871,,1.38,,
CBRE,2021,Q,3,San Francisco Peninsula,San Mateo,,Industrial,605606,0.052,3060,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,San Mateo,,Warehouse Class B,312367,0.006,-1940,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,San Mateo,,Manufacturing,283239,0.093,5000,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Industrial,2927997,0.025,15535,,1.77,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Warehouse Class A,145000,0,23104,,1.85,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Warehouse Class B,1121142,0.024,-10000,,1.8,,
CBRE,2021,Q,3,San Francisco Peninsula,Belmont/San Carlos,,Manufacturing,1661855,0.029,2431,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,Redwood City/Redwood Shores,,Industrial,2998910,0.022,-35476,,1.8,,
CBRE,2021,Q,3,San Francisco Peninsula,Redwood City/Redwood Shores,,Warehouse Class A,467342,0,0,,1.9,,
CBRE,2021,Q,3,San Francisco Peninsula,Redwood City/Redwood Shores,,Warehouse Class B,467342,0.027,-35476,,1.8,,
CBRE,2021,Q,3,San Francisco Peninsula,Redwood City/Redwood Shores,,Manufacturing,781576,0.027,0,,1.75,,
CBRE,2021,Q,3,San Francisco Peninsula,Central County,,Industrial,6532513,0.026,-16881,,1.79,,
CBRE,2021,Q,3,San Francisco Peninsula,Menlo Park,,Industrial,1799398,0.023,12500,,1.94,,
CBRE,2021,Q,3,San Francisco Peninsula,Menlo Park,,Warehouse Class A,659649,0,0,,1.85,,
CBRE,2021,Q,3,San Francisco Peninsula,Menlo Park,,Warehouse Class B,261210,0,0,,1.8,,
CBRE,2021,Q,3,San Francisco Peninsula,Menlo Park,,Manufacturing,878539,0.047,12500,,2.05,,
CBRE,2021,Q,3,San Francisco Peninsula,Palo Alto/East Palo Alto,,Industrial,1269247,0.035,4275,,2.69,,
CBRE,2021,Q,3,San Francisco Peninsula,Palo Alto/East Palo Alto,,Warehouse Class B,26620,0,0,,2.03,,
CBRE,2021,Q,3,San Francisco Peninsula,Palo Alto/East Palo Alto,,Manufacturing,1242627,0.036,4275,,2.7,,
CBRE,2021,Q,3,San Francisco Peninsula,South County,,Industrial,3068645,0.028,16775,,2.25,,
