Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q
CBRE,2023,Q,4,Des Moines,Northwest,,Warehouse & Distribution,3865010,0.028,38800,0,6.25,,
CBRE,2023,Q,4,Des Moines,Northeast,,Warehouse & Distribution,17737235,0.1124,-31600,0,6.25,,
CBRE,2023,Q,4,Des Moines,South,,Warehouse & Distribution,4258016,0.049,2286,0,5.25,,
CBRE,2023,Q,4,Des Moines,Ankeny,,Warehouse & Distribution,5211314,0.1173,-9475,0,6.25,,
CBRE,2023,Q,4,Des Moines,Greater DSM,,Warehouse & Distribution,43849135,0.0797,-76731,685034,6.15,,
CBRE,2023,Q,4,Des Moines,Western Suburbs,,Manufacturing,1882576,0,0,0,6.3,,
CBRE,2023,Q,4,Des Moines,CBD,,Manufacturing,0,0,0,0,0,,
CBRE,2023,Q,4,Des Moines,Northwest,,Manufacturing,2346399,0,0,0,5.5,,
CBRE,2023,Q,4,Des Moines,Northeast,,Manufacturing,3779644,0.025,0,0,7,,
CBRE,2023,Q,4,Des Moines,South,,Manufacturing,963057,0,0,0,4.75,,
CBRE,2023,Q,4,Des Moines,Ankeny,,Manufacturing,2932101,0,0,0,7,,
CBRE,2023,Q,4,Des Moines,Greater DSM,,Manufacturing,11903777,0.0079,0,0,6.3,,
CBRE,2023,Q,4,Des Moines,Western Suburbs,,Modern Bulk Warehouse & Distribution,5548196,0.1053,0,685034,6.5,,
CBRE,2023,Q,4,Des Moines,CBD,,Modern Bulk Warehouse & Distribution,0,0,0,0,0,,
CBRE,2023,Q,4,Des Moines,Northwest,,Modern Bulk Warehouse & Distribution,2085427,0.0096,0,0,6.25,,
CBRE,2023,Q,4,Des Moines,Northeast,,Modern Bulk Warehouse & Distribution,8915145,0.1654,0,0,6.25,,
CBRE,2023,Q,4,Des Moines,South,,Modern Bulk Warehouse & Distribution,720834,0,0,0,5.25,,
CBRE,2023,Q,4,Des Moines,Ankeny,,Modern Bulk Warehouse & Distribution,3969432,0.1387,0,0,6.5,,
CBRE,2023,Q,4,Des Moines,Greater DSM,,Modern Bulk Warehouse & Distribution,21239034,0.1238,0,685034,6.25,,
CBRE,2023,Q,4,Des Moines,Western Suburbs,,Flex,5349447,0.0797,-3784,76800,9.45,,
CBRE,2023,Q,4,Des Moines,CBD,,Flex,327856,0.0335,0,0,9,,
CBRE,2023,Q,4,Des Moines,Northwest,,Flex,823617,0.017,9548,0,9,,
CBRE,2023,Q,4,Des Moines,Northeast,,Flex,3430884,0.0455,23181,0,9,,
CBRE,2023,Q,4,Des Moines,South,,Flex,351129,0.0615,7500,0,8.25,,
CBRE,2023,Q,4,Des Moines,Ankeny,,Flex,792301,0.0424,0,0,10,,
CBRE,2023,Q,4,Des Moines,Greater DSM,,Flex,11075234,0.0599,36445,76800,9.25,,
CBRE,2023,Q,4,Detroit,Detroit,,Industrial,88365232,0.052,461035,743546,6.51,297000,
CBRE,2023,Q,4,Detroit,Downriver,,Industrial,72117394,0.02,616383,1249507,6.13,812332,
CBRE,2023,Q,4,Detroit,I-75 Corridor,,Industrial,84658993,0.022,-109249,778416,8.77,,
CBRE,2023,Q,4,Detroit,Macomb,,Industrial,107673657,0.012,-48480,700055,7.33,,
CBRE,2023,Q,4,Detroit,NW Suburbs,,Industrial,57669465,0.027,164773,42922,9.42,,
CBRE,2023,Q,4,Detroit,SE Oakland,,Industrial,16806652,0.026,-23400,,7.49,,
CBRE,2023,Q,4,Detroit,Washtenaw,,Industrial,24345135,0.017,9639,,8.86,,
CBRE,2023,Q,4,Detroit,Western Wayne,,Industrial,89711286,0.017,69158,286347,7.96,,
CBRE,2023,Q,4,Detroit,TOTAL,,Total,541347814,0.024,1139859,3800793,7.5,1109332,
CBRE,2023,Q,4,El Paso,West,,Industrial,,0.014,,919763,,,
CBRE,2023,Q,4,El Paso,Northeast,,Industrial,,0.009,25600,75000,,,
CBRE,2023,Q,4,El Paso,Central,,Industrial,,0.003,0,0,,,
CBRE,2023,Q,4,El Paso,East,,Industrial,,0.066,335220,3678093,,643490,
CBRE,2023,Q,4,El Paso,Lower Valley,,Industrial,,0.065,0,275000,,,
CBRE,2023,Q,4,El Paso,El Paso Total,Total,Industrial,,0.037,360820,4947856,,643490,
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,Bell,Overall,5349440,0.021,0,0,1.84,,0
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,Bell Gardens,Overall,2691527,0.025,0,0,1.6,,16465
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,City of Commerce/Montebello,Overall,65333857,0.026,3391,151565,1.35,,336633
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,Monterey Park,Overall,2253656,0.037,0,0,1.02,,0
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,Pico Rivera,Overall,10456255,0.021,-53371,0,0.93,,0
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,Cudahy,Overall,1418300,0,0,0,0,,0
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,City of Vernon,Overall,57928950,0.031,-79939,537466,1.3,,266932
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,Maywood,Overall,873381,0,0,0,0,,0
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,South Gate,Overall,11773474,0.022,0,0,1.19,,0
CBRE,2023,Q,4,Greater Los Angeles,Commerce/Vernon,Huntington Park,Overall,6032245,0.036,-52450,0,1.23,,0
CBRE,2023,Q,4,Greater Los Angeles,Central Los Angeles,Los Angeles,Overall,106782352,0.022,-77676,253318,1.11,,372682
CBRE,2023,Q,4,Greater Los Angeles,Mid Counties,Cerritos,Overall,13853375,0.028,-42177,0,1.56,,156688
CBRE,2023,Q,4,Greater Los Angeles,Mid Counties,Downey,Overall,5332376,0.02,-24712,0,1.55,,0
CBRE,2023,Q,4,Greater Los Angeles,Mid Counties,La Mirada,Overall,13478470,0.044,-220375,0,1.71,,174246
CBRE,2023,Q,4,Greater Los Angeles,Mid Counties,Norwalk,Overall,2929857,0.029,23136,0,1.74,,0
CBRE,2023,Q,4,Greater Los Angeles,Mid Counties,Paramount,Overall,8538889,0.002,83653,0,1.39,,0
CBRE,2023,Q,4,Greater Los Angeles,Mid Counties,Santa Fe Springs,Overall,55060594,0.017,-326121,509677,1.85,,85828
CBRE,2023,Q,4,Greater Los Angeles,Mid Counties,Whittier,Overall,4772793,0.002,-10000,0,0,,0
CBRE,2023,Q,4,Greater Los Angeles,Greater San Fernando Valley,East San Fernando Valley,Overall,83920426,0.011,84244,363571,1.71,,362806
CBRE,2023,Q,4,Greater Los Angeles,Greater San Fernando Valley,West San Fernando Valley,Overall,61572851,0.015,-57322,20049,1.61,,148878
CBRE,2023,Q,4,Greater Los Angeles,Greater San Fernando Valley,Santa Clarita Valley,Overall,24597166,0.009,397039,0,1.28,,281917
CBRE,2023,Q,4,Greater Los Angeles,Greater San Fernando Valley,Antelope Valley,Overall,6049671,0.011,-39640,119853,1.09,,0
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,Azusa,Overall,7985903,0.021,-47664,0,0.83,,164568
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,City of Industry,Overall,82089250,0.027,425317,1754562,1.58,,344192
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,El Monte,Overall,11177200,0.007,13200,360992,1.3,,112543
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,Irwindale,Overall,14836459,0.012,355465,682625,1.55,,280522
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,Monrovia/Duarte,Overall,6360466,0.026,-79325,0,1.41,,19275
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,Pomona,Overall,20026377,0.007,-27247,230000,1.29,,17526
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,South El Monte,Overall,6950997,0.008,-19050,0,1.28,,0
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,Baldwin Park,Overall,4328591,0.038,0,132254,1.12,,20677
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,Walnut,Overall,642094,0.017,-10647,0,1.52,,0
CBRE,2023,Q,4,Greater Los Angeles,San Gabriel Valley,Glendora/San Dimas/La Verne,Overall,6354765,0.019,-73707,74378,1.62,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Carson,Overall,44232481,0.025,-16608,663924,1.71,,136458
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Compton,Overall,21840938,0.043,-506700,0,1.62,,234600
CBRE,2023,Q,4,Greater Los Angeles,South Bay,El Segundo,Overall,8109310,0.005,30000,0,1.75,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Gardena,Overall,14964243,0.012,-12166,0,1.26,,51672
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Harbor City,Overall,3564408,0.087,0,0,1.61,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Hawthorne,Overall,7310801,0.021,-66675,0,1.64,,36326
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Inglewood,Overall,3992448,0.011,1257,0,1.71,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,LA Unincorporated,Overall,15366818,0.028,-43817,0,1.32,,23872
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Lawndale,Overall,167202,0.06,-10000,0,0,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Long Beach,Overall,18917034,0.011,27496,1077567,1.68,,184684
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Los Angeles,Overall,5066750,0.04,21033,0,2,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Rancho Dominguez,Overall,20698253,0.028,46764,0,1.59,,460346
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Redondo Beach,Overall,2453948,0,0,0,0,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,San Pedro,Overall,3209187,0,0,0,1.39,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Signal Hill,Overall,2411365,0.023,-18288,0,0,,0
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Torrance,Overall,29543034,0.021,5647,174211,1.67,,350506
CBRE,2023,Q,4,Greater Los Angeles,South Bay,Wilmington,Overall,3574004,0.023,-29760,0,1.45,,16010
CBRE,2023,Q,4,Greater Los Angeles,Ventura County,Camarillo,Overall,10979113,0.012,24015,120500,1.04,,27968
CBRE,2023,Q,4,Greater Los Angeles,Ventura County,Moorpark,Overall,4134368,0.062,-128872,0,0.94,,0
CBRE,2023,Q,4,Greater Los Angeles,Ventura County,Oxnard/Port Hueneme,Overall,21915121,0.004,61568,74551,0.73,,125366
CBRE,2023,Q,4,Greater Los Angeles,Ventura County,Simi Valley,Overall,9002685,0.032,-41874,551736,1.48,,31623
CBRE,2023,Q,4,Greater Los Angeles,Ventura County,Thousand Oaks,Overall,8597974,0.051,9298,120290,1.12,,0
CBRE,2023,Q,4,Greater Los Angeles,Ventura County,Ventura,Overall,9714883,0.011,-67643,0,0.78,,0
CBRE,2023,Q,4,Greater Los Angeles,Ventura County,Westlake Village,Overall,3830669,0.005,-3000,0,1.61,,0
CBRE,2023,Q,4,Greater Los Angeles,Greater Los Angeles,Total,Overall,986834165,0.021,-658906,7973089,1.53,1936744,4841809
CBRE,2023,Q,4,Greensboro Winston-Salem,Piedmont Triad Airport Area,,Warehouse,17130928,0.058,19731,1884377,6.83,,
CBRE,2023,Q,4,Greensboro Winston-Salem,North Guilford,,Warehouse,7191293,0.021,,,,,
CBRE,2023,Q,4,Greensboro Winston-Salem,South Greensboro,,Warehouse,1905542,0.151,4032,,7.01,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Central Guilford,,Warehouse,4093200,0.115,-1960,,7.33,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Southeast Guilford,,Warehouse,6937939,0.114,,138000,6.73,,
CBRE,2023,Q,4,Greensboro Winston-Salem,High Point,,Warehouse,7774799,0.031,37396,,5.48,,
CBRE,2023,Q,4,Greensboro Winston-Salem,North Forsyth,,Warehouse,6852611,0.046,-2500,,5.65,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Kernersville,,Warehouse,3972388,0.003,-5000,,7.87,,
CBRE,2023,Q,4,Greensboro Winston-Salem,South Forsyth,,Warehouse,3171651,0.024,27025,,6.9,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Southeast Forsyth,,Warehouse,6359175,0.044,,500000,6.61,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Winston-Salem CBD,,Warehouse,1760226,,,,,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Clemmons,,Warehouse,377159,0.146,,,6.5,,
CBRE,2023,Q,4,Greensboro Winston-Salem,South Alamance,,Warehouse,6015831,0.178,380000,404450,6.31,,
CBRE,2023,Q,4,Greensboro Winston-Salem,North Alamance,,Warehouse,5472150,0.023,32698,,3.95,,
CBRE,2023,Q,4,Greensboro Winston-Salem,West Burlington/Airport,,Warehouse,614062,,,,,,
CBRE,2023,Q,4,Greensboro Winston-Salem,SW Alamance,,Warehouse,2389216,,,,,,
CBRE,2023,Q,4,Greensboro Winston-Salem,South Burlington,,Warehouse,1317504,0.109,,,5,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Burlington CBD,,Warehouse,975559,0.074,41819,,4.89,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Davie County,,Warehouse,6461896,0.082,-20000,781612,5.8,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Warehouse Totals,,,91817368,0.066,533241,3209479,6.47,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Piedmont Triad Airport Area,,Flex,1568039,0.055,-12125,,11.8,,
CBRE,2023,Q,4,Greensboro Winston-Salem,North Guilford,,Flex,320006,0.188,-16000,,10.82,,
CBRE,2023,Q,4,Greensboro Winston-Salem,South Greensboro,,Flex,260976,,,,6.25,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Central Guilford,,Flex,1241563,0.058,12170,,9.16,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Southeast Guilford,,Flex,232006,,,,,,
CBRE,2023,Q,4,Greensboro Winston-Salem,High Point,,Flex,362792,0.118,,,,,
CBRE,2023,Q,4,Greensboro Winston-Salem,North Forsyth,,Flex,696487,0.084,-11035,,11.22,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Kernersville,,Flex,551107,0.032,-9150,,9.43,,
CBRE,2023,Q,4,Greensboro Winston-Salem,South Forsyth,,Flex,191423,0.042,,,8.85,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Southeast Forsyth,,Flex,35083,,,,,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Flex Totals,,,5459482,0.063,-36140,,9.27,,
CBRE,2023,Q,4,Greensboro Winston-Salem,Industrial Totals,,,97276850,0.066,497101,3209479,6.61,,
CBRE,2023,Q,4,Greenville Spartanburg,Anderson,,Industrial,27605183,0.061,219161,1000000,4.26,,
CBRE,2023,Q,4,Greenville Spartanburg,Central Greenville,,Industrial,16059744,0.072,76667,0,4.58,,
CBRE,2023,Q,4,Greenville Spartanburg,I-385 South,,Industrial,23431181,0.055,1856,290100,6.97,,
CBRE,2023,Q,4,Greenville Spartanburg,I-85 East,,Industrial,10349321,0.048,0,0,5.14,,
CBRE,2023,Q,4,Greenville Spartanburg,I-85 West,,Industrial,23984694,0.094,6500,62500,4.95,,
CBRE,2023,Q,4,Greenville Spartanburg,Laurens,,Industrial,12596444,0.033,0,0,5.95,,
CBRE,2023,Q,4,Greenville Spartanburg,Taylors-Greer,,Industrial,17668958,0.019,25917,0,5.24,,
CBRE,2023,Q,4,Greenville Spartanburg,Travelers Rest,,Industrial,3647638,0,0,0,,,
CBRE,2023,Q,4,Greenville Spartanburg,Spartanburg East,,Industrial,23810466,0.034,-129310,2353795,4.84,,
CBRE,2023,Q,4,Greenville Spartanburg,Spartanburg West,,Industrial,70245244,0.15,-1701999,2570792,5.81,,
CBRE,2023,Q,4,Greenville Spartanburg,Property Subtype,Manufacturing,Industrial,100192791,0.02,-635432,0,4.24,,
CBRE,2023,Q,4,Greenville Spartanburg,Property Subtype,R&D/Flex,Industrial,7564564,0.092,-10286,39000,7.21,,
CBRE,2023,Q,4,Greenville Spartanburg,Property Subtype,Warehouse/Distribution,Industrial,121641518,0.111,2548508,7427627,5.06,,
CBRE,2023,Q,4,Greenville Spartanburg,Property Subtype,Class A Warehouse,Industrial,58140689,0.137,2547895,7427627,5.25,,
CBRE,2023,Q,4,Greenville Spartanburg,Property Subtype,Class B Warehouse,Industrial,27550239,0.022,-16000,0,4.64,,
CBRE,2023,Q,4,Greenville Spartanburg,MARKET TOTAL,,Total,229398873,0.082,1902790,7466627,5.38,,
CBRE,2023,Q,4,Hartford,Downtown Hartford,,Industrial,4370072,0.063,-8250,0,12,,
CBRE,2023,Q,4,Hartford,Hartford North,,Industrial,29391831,0.035,346978,170300,6.41,,
CBRE,2023,Q,4,Hartford,Hartford South,,Industrial,10211587,0.038,-155730,0,7.43,,
CBRE,2023,Q,4,Hartford,Hartford East,,Industrial,15670043,0.026,-93810,2515750,4.83,,
CBRE,2023,Q,4,Hartford,Hartford West,,Industrial,8499895,0.023,-2950,0,6.74,,
CBRE,2023,Q,4,Hartford,Hartford,,Total,68143428,0.035,86238,2686050,6.23,,
CBRE,2023,Q,4,Hawaii,Oahu,Kakaako,Industrial,2129129,,,,,,
CBRE,2023,Q,4,Hawaii,Oahu,Iwilei,Industrial,2541284,,-765,,1.72,,
CBRE,2023,Q,4,Hawaii,Oahu,Kalihi,Industrial,9320406,,8587,,1.38,,
CBRE,2023,Q,4,Hawaii,Oahu,Mapunapuna,Industrial,2899057,,-6660,,1.4,,
CBRE,2023,Q,4,Hawaii,Oahu,Airport,Industrial,3115940,,-4764,,1.63,,
CBRE,2023,Q,4,Hawaii,Oahu,Bougainville,Industrial,388051,,,,,,
CBRE,2023,Q,4,Hawaii,Oahu,Halawa,Industrial,1461384,,15747,,1.54,,
CBRE,2023,Q,4,Hawaii,Oahu,Pearl City,Industrial,3666488,,,,1.48,,
CBRE,2023,Q,4,Hawaii,Oahu,Waipio,Industrial,1936581,,,,1.37,,
CBRE,2023,Q,4,Hawaii,Oahu,Waipahu,Industrial,3271882,,16785,,1.47,,
CBRE,2023,Q,4,Hawaii,Oahu,Kapolei,Industrial,2264649,,-4800,,1.47,,
CBRE,2023,Q,4,Hawaii,Oahu,Campbell,Industrial,4005265,,53640,,,,
CBRE,2023,Q,4,Hawaii,Oahu,Windward,Industrial,1079413,,,,,,
CBRE,2023,Q,4,Hawaii,Oahu,Total,Industrial,38079529,,77770,,1.46,,
CBRE,2023,Q,4,Hawaii,Maui,Total,Industrial,8165548,,-9907,,1.38,,
CBRE,2023,Q,4,Hawaii,Big Island,Total,Industrial,6143962,,4835,,1.94,,
CBRE,2023,Q,4,Hawaii,Kauai,Total,Industrial,1834993,,-3820,,1.9,,
CBRE,2023,Q,4,Hawaii,State,Total,Industrial,54224032,,68878,,1.49,,
CBRE,2023,Q,4,Indianapolis,East,,Industrial,57657235,0.179,404000,771029,5.55,,
CBRE,2023,Q,4,Indianapolis,Northeast,,Industrial,26487813,0.037,139232,0,9.92,,
CBRE,2023,Q,4,Indianapolis,Northwest,,Industrial,71258693,0.076,-179505,1405400,6.21,,
CBRE,2023,Q,4,Indianapolis,Southeast,,Industrial,15404139,0.14,-194381,1146288,6.18,,
CBRE,2023,Q,4,Indianapolis,Southwest,,Industrial,76854682,0.043,-143595,80052,4.97,,
CBRE,2023,Q,4,Indianapolis,West,,Industrial,37664032,0.136,345103,826687,6.29,,
CBRE,2023,Q,4,Indianapolis,South,,Industrial,33827962,0.007,-88015,126576,6.52,,
CBRE,2023,Q,4,Indianapolis,CBD,,Industrial,32649585,0.16,-158400,0,6.44,,
CBRE,2023,Q,4,Indianapolis,North,,Industrial,4550723,0.047,0,87000,12.13,,
CBRE,2023,Q,4,Indianapolis,Total,,Industrial,356354864,0.093,124439,4959626,5.98,,
CBRE,2023,Q,4,Jacksonville,Downtown,,Industrial,1029331,0.026,0,,4.65,,
CBRE,2023,Q,4,Jacksonville,Beaches,,Industrial,188007,0.007,5400,,14,,
CBRE,2023,Q,4,Jacksonville,Northside,,Industrial,44209439,0.029,2665104,2510137,8.45,,
CBRE,2023,Q,4,Jacksonville,Southside,,Industrial,22376863,0.05,-178983,235920,9.05,,
CBRE,2023,Q,4,Jacksonville,Westside,,Industrial,50740122,0.05,2536128,1776610,6.49,,
CBRE,2023,Q,4,Jacksonville,Clay County,,Industrial,2919873,0.044,-120000,,13.85,,
CBRE,2023,Q,4,Jacksonville,St. Johns County,,Industrial,2190295,0.21,-114190,1040374,9.5,,
CBRE,2023,Q,4,Jacksonville,Jacksonville Total,,Industrial,123653930,0.045,4793459,5563041,7.84,,
CBRE,2023,Q,4,Jacksonville,Jacksonville Total,,Manufacturing,19002251,0.024,-285616,,5.19,,
CBRE,2023,Q,4,Jacksonville,Jacksonville Total,,Warehouse/Distribution,95613913,0.047,5069774,5510121,7.42,,
CBRE,2023,Q,4,Jacksonville,Jacksonville Total,,R&D/Flex,9037766,0.074,9301,52920,10.97,,
CBRE,2023,Q,4,Kansas City,Clay,,Overall,54162117,0.019,426837,203899,5.07,,
CBRE,2023,Q,4,Kansas City,Jackson,,Overall,107256429,0.038,-49516,1071000,5.15,,
CBRE,2023,Q,4,Kansas City,Johnson,,Overall,87235385,0.056,-310945,2472918,5.95,,
CBRE,2023,Q,4,Kansas City,Platte,,Overall,17324903,0.031,84404,2284878,5.52,,
CBRE,2023,Q,4,Kansas City,Wyandotte,,Overall,45917042,0.014,-290095,0,5,,
CBRE,2023,Q,4,Kansas City,Cass,,Overall,4493695,0.126,205738,0,4.53,,
CBRE,2023,Q,4,Kansas City,Metro,,Overall,316389571,0.037,66423,6032695,5.48,,
CBRE,2023,Q,4,Kansas City,Clay,,Bulk Distribution,34934883,0.024,363921,203899,4.69,,
CBRE,2023,Q,4,Kansas City,Jackson,,Bulk Distribution,47492356,0.069,42689,1071000,4.65,,
CBRE,2023,Q,4,Kansas City,Johnson,,Bulk Distribution,52573421,0.078,-338533,2358918,5.29,,
CBRE,2023,Q,4,Kansas City,Platte,,Bulk Distribution,12030446,0.035,104593,2284878,5.06,,
CBRE,2023,Q,4,Kansas City,Wyandotte,,Bulk Distribution,17852030,0.018,-325651,0,3.75,,
CBRE,2023,Q,4,Kansas City,Cass,,Bulk Distribution,4493695,0.126,205738,0,4.53,,
CBRE,2023,Q,4,Kansas City,Metro,,Bulk Distribution,169376831,0.056,52757,5918695,4.94,,
CBRE,2023,Q,4,Kansas City,Clay,,Modern Bulk,11802734,0.063,198921,203899,4.38,,
CBRE,2023,Q,4,Kansas City,Jackson,,Modern Bulk,11949898,0.118,-25520,1071000,4.61,,
CBRE,2023,Q,4,Kansas City,Johnson,,Modern Bulk,35500555,0.107,-306702,2358918,5.28,,
CBRE,2023,Q,4,Kansas City,Platte,,Modern Bulk,9486807,0.045,104593,2284878,5.12,,
CBRE,2023,Q,4,Kansas City,Wyandotte,,Modern Bulk,7913191,0,0,0,,,
CBRE,2023,Q,4,Kansas City,Cass,,Modern Bulk,4493695,0.126,205738,0,4.53,,
CBRE,2023,Q,4,Kansas City,Metro,,Modern Bulk,81146880,0.086,177030,5918695,5.02,,
CBRE,2023,Q,4,McAllen,McAllen,,Industrial,,0.024,-22352,270200,6.43,24428,
CBRE,2023,Q,4,McAllen,Pharr,,Industrial,,0.002,39000,422400,8.4,,
CBRE,2023,Q,4,McAllen,Edinburg,,Industrial,,0.018,,,7.8,,
CBRE,2023,Q,4,McAllen,Hidalgo,,Industrial,,0.063,,,6.6,,
CBRE,2023,Q,4,McAllen,Mission,,Industrial,,,9180,100000,,,
CBRE,2023,Q,4,McAllen,Off Park,,Industrial,,0.042,,253000,5.65,,
CBRE,2023,Q,4,McAllen,McAllen Total,,Industrial,,0.018,25828,1045600,6.21,24428,
CBRE,2023,Q,4,McAllen,McAllen Total,,Class A,,0.014,104428,1045600,6.9,24428,
CBRE,2023,Q,4,McAllen,McAllen Total,,Class B,,0.024,-78600,,6.22,,
CBRE,2023,Q,4,Miami,Airport/Doral,,Industrial,60424331,0.0324,112796,1464241,19.5,,
CBRE,2023,Q,4,Miami,Central Dade,,Industrial,39691836,0.0337,926759,,14.3,,
CBRE,2023,Q,4,Miami,Hialeah,,Industrial,16707629,0.0398,-42158,409189,14.3,,
CBRE,2023,Q,4,Miami,Kendall/Tamiami,,Industrial,14404811,0.0259,-102019,,13,,
CBRE,2023,Q,4,Miami,Medley,,Industrial,46107537,0.0311,598487,1973793,17.2,,
CBRE,2023,Q,4,Miami,Miami Lakes,,Industrial,16428749,0.0406,2179671,2527500,17,,
CBRE,2023,Q,4,Miami,North Central Dade,,Industrial,38889926,0.0311,-95215,1805758,16.1,,
CBRE,2023,Q,4,Miami,Northeast Dade,,Industrial,2686371,0.0177,-7285,,14.5,,
CBRE,2023,Q,4,Miami,Out of Submarket,,Industrial,1389117,0.0018,0,,,,
CBRE,2023,Q,4,Miami,South Dade,,Industrial,4634516,0.0135,-32774,398230,13,,
CBRE,2023,Q,4,Miami,Grand Total,,Industrial,241364823,0.0321,3538262,8578711,15.5,,
CBRE,2023,Q,4,Milwaukee,Kenosha,,Industrial,48749049,0.122,,2715094,4.5,666060,
CBRE,2023,Q,4,Milwaukee,Milwaukee Downtown,,Industrial,11827396,0.047,,0,3.69,,
CBRE,2023,Q,4,Milwaukee,Milwaukee North Central,,Industrial,12175482,0.029,13706,0,3.97,,
CBRE,2023,Q,4,Milwaukee,Milwaukee North Shore,,Industrial,5743081,0.013,221500,0,4.71,,
CBRE,2023,Q,4,Milwaukee,Milwaukee Northwest,,Industrial,24639805,0.022,58673,205116,4.16,,
CBRE,2023,Q,4,Milwaukee,Milwaukee South,,Industrial,36108092,0.041,514714,445659,6.54,443984,
CBRE,2023,Q,4,Milwaukee,Milwaukee South Central,,Industrial,13276248,0.106,-565959,0,6.91,,
CBRE,2023,Q,4,Milwaukee,Milwaukee West,,Industrial,13917486,0.109,-443871,81000,4.77,,
CBRE,2023,Q,4,Milwaukee,Ozaukee,,Industrial,12079352,0.015,34576,165868,4.38,,
CBRE,2023,Q,4,Milwaukee,Racine,,Industrial,33160129,0.073,149224,77000,5.9,234360,
CBRE,2023,Q,4,Milwaukee,Sheboygan,,Industrial,18810566,0.015,-138050,0,5.5,,
CBRE,2023,Q,4,Milwaukee,Walworth,,Industrial,11658024,0.005,19000,25000,3.78,,
CBRE,2023,Q,4,Milwaukee,Washington,,Industrial,22724852,0.007,194423,0,4.95,1505036,
CBRE,2023,Q,4,Milwaukee,Waukesha Northeast,,Industrial,22649018,0.007,-12025,236045,7.61,18180,
CBRE,2023,Q,4,Milwaukee,Waukesha Northwest,,Industrial,21119022,0.018,170335,0,5.6,,
CBRE,2023,Q,4,Milwaukee,Waukesha Southeast,,Industrial,16516038,0.019,209993,118000,6.91,277960,
CBRE,2023,Q,4,Milwaukee,Waukesha Southwest,,Industrial,17347680,0.006,19687,24000,6.77,,
CBRE,2023,Q,4,Milwaukee,TOTAL,,Industrial,342501320,0.046,470150,5152159,4.95,2086203,
CBRE,2023,Q,4,Minneapolis,East,,Industrial,23281179,0.111,173889,160000,,,
CBRE,2023,Q,4,Minneapolis,Northwest,,Industrial,82286580,0.048,974886,1531973,,,
CBRE,2023,Q,4,Minneapolis,Southwest,,Industrial,71933514,0.041,165357,617340,,,
CBRE,2023,Q,4,Minneapolis,South Central,,Industrial,55953425,0.03,236026,757965,,,
