FID,Submarket,Market
217,Anderson,Greenville-Spartanburg
218,Central Greenville,Greenville-Spartanburg
219,I-385 South,Greenville-Spartanburg
220,I-85 East,Greenville-Spartanburg
221,I-85 West,Greenville-Spartanburg
222,Spartanburg East,Greenville-Spartanburg
223,Spartanburg West,Greenville-Spartanburg
224,Taylors-Greer,Greenville-Spartanburg
225,Travelers Rest,Greenville-Spartanburg
226,Periphery Downtown,Hartford
227,Hartford East,Hartford
228,Hartford North,Hartford
229,Hartford South,Hartford
230,Hartford West,Hartford
231,Aiea,Hawaii
232,Airport,Hawaii
233,Bougainville,Hawaii
234,Campbell,Hawaii
235,Central Business District,Hawaii
236,Ewa Beach,Hawaii
237,Halawa,Hawaii
238,Iwilei,Hawaii
239,Kakaako,Hawaii
240,Kalihi,Hawaii
241,Kapolei,Hawaii
242,Mapunapuna,Hawaii
243,Pearl City,Hawaii
244,Sand Island,Hawaii
245,Wahiawa,Hawaii
246,Waipahu,Hawaii
247,Waipio,Hawaii
248,Windward,Hawaii
249,CBD,Houston
250,North,Houston
251,Northeast,Houston
252,Northwest,Houston
253,South,Houston
254,Southeast,Houston
255,Southwest,Houston
256,Southwest,Indianapolis
257,Northwest,Indianapolis
258,North,Indianapolis
259,Northeast,Indianapolis
260,CBD,Indianapolis
261,East,Indianapolis
262,Southeast,Indianapolis
263,Inland Empire East,Inland Empire
264,Inland Empire North,Inland Empire
265,Low Desert,Inland Empire
266,Inland Empire West,Inland Empire
267,Beaches,Jacksonville
268,Clay County,Jacksonville
269,Downtown,Jacksonville
270,Northside,Jacksonville
271,Southside,Jacksonville
272,St. Johns County,Jacksonville
273,Westside,Jacksonville
274,Central,Juarez
275,North,Juarez
276,San Geronimo,Juarez
277,South/Electrolux,Juarez
278,Southeast,Juarez
279,Southwest,Juarez
280,West,Juarez
281,Cass,Kansas City
282,Clay,Kansas City
283,Jackson,Kansas City
284,Johnson,Kansas City
285,Platte,Kansas City
286,Wyandotte,Kansas City
287,Central Business District,Lansing
288,East,Lansing
289,North,Lansing
290,South,Lansing
291,West,Lansing
292,Airport,Las Vegas
293,Central,Las Vegas
294,Henderson,Las Vegas
295,North Las Vegas,Las Vegas
296,Southwest,Las Vegas
297,Antelope Valley,Los Angeles
298,Montebello,Central Los Angeles
299,Downtown Los Angeles,Central Los Angeles
300,Greater San Fernando Valley,Greater Los Angeles
301,Mid-Counties,Greater Los Angeles
302,San Gabriel Valley,Greater Los Angeles
303,South Bay,Greater Los Angeles
304,Huntington Park,Central Los Angeles
305,Bluegrass,Louisville
306,Bullitt County,Louisville
307,Downtown,Louisville
308,Northeast,Louisville
309,Riverport,Louisville
310,Southern Indiana,Louisville
311,Southside/Airport,Louisville
312,Central,Madison
313,East,Madison
314,Rock County,Madison
315,South,Madison
316,West,Madison
317,Prince George's,Suburban Maryland
318,Montgomery,Suburban Maryland
319,Edinburg,McAllen
320,Hidalgo,McAllen
321,McAllen,McAllen
322,Mission,McAllen
323,Pharr,McAllen
324,Desoto County,Memphis
325,Northeast,Memphis
326,Northwest,Memphis
327,Southeast,Memphis
328,Southwest,Memphis
329,Airport/Doral,Miami
330,Central Dade,Miami
331,Hialeah,Miami
332,Kendall/Tamiami,Miami
