Broker,Year,Period_Type,Period_Number,Market,Submarket,Secondary Submarket,Property Type,Inventory SF,Vacancy Q,Net Absorption Q,Under Construction Q,Asking Rent Q,Delivered Q,Leasing Activity Q,LocationID,Prev_Year,Prev_Period_Type,Prev_Period_Number,Prev_Inventory_SF,Prev_Vacancy_Q,Prev_Asking_Rent_Q,Prev_Net_Absorption_Q,Quarter_Gap,Rent_Pct_Change,Inventory_Pct_Change,Vacancy_Pct_Change,Net_Absorption_Change
CBRE,2024,Q,3,Albuquerque,Mesa del Sol,N/A,Industrial,693896.0,,36608.0,,,,,Albuquerque_Mesa del Sol_N/A_Industrial,2024,Q,1,693896.0,0.053,11.0,0.0,2,,0.0,,3660800.0
CBRE,2024,Q,4,Albuquerque,Mesa del Sol,N/A,Industrial,693896.0,0.0,0.0,109346.0,0.0,0.0,,Albuquerque_Mesa del Sol_N/A_Industrial,2024,Q,3,693896.0,,,36608.0,1,,0.0,,-3660800.0
CBRE,2025,Q,1,Albuquerque,Mesa del Sol,N/A,Industrial,693896.0,0.0,0.0,124346.0,0.0,0.0,,Albuquerque_Mesa del Sol_N/A_Industrial,2024,Q,4,693896.0,0.0,0.0,0.0,1,,0.0,,0.0
CBRE,2025,Q,2,Albuquerque,Mesa del Sol,N/A,Industrial,693896.0,0.0,0.0,124346.0,0.0,,,Albuquerque_Mesa del Sol_N/A_Industrial,2025,Q,1,693896.0,0.0,0.0,0.0,1,,0.0,,0.0
CBRE,2024,Q,4,Albuquerque,Metro Total,N/A,Industrial,47135075.0,0.033,-8474.0,246385.0,9.85,151000.0,,Albuquerque_Metro Total_N/A_Industrial,,,,,,,,,,,,
CBRE,2023,Q,2,Albuquerque,NE Heights,N/A,Industrial,482381.0,0.009,-5523.0,,9.0,,,Albuquerque_NE Heights_N/A_Industrial,,,,,,,,,,,,
CBRE,2023,Q,4,Albuquerque,NE Heights,N/A,Industrial,482381.0,0.009,-4420.0,0.0,9.0,,,Albuquerque_NE Heights_N/A_Industrial,2023,Q,2,482381.0,0.009,9.0,-5523.0,2,0.0,0.0,0.0,110300.0
CBRE,2024,Q,1,Albuquerque,NE Heights,N/A,Industrial,482381.0,0.002,0.0,,9.0,,,Albuquerque_NE Heights_N/A_Industrial,2023,Q,4,482381.0,0.009,9.0,-4420.0,1,0.0,0.0,-78.0,442000.0
CBRE,2024,Q,3,Albuquerque,NE Heights,N/A,Industrial,482381.0,0.002,,,,9.0,,Albuquerque_NE Heights_N/A_Industrial,2024,Q,1,482381.0,0.002,9.0,0.0,2,,0.0,0.0,
CBRE,2024,Q,4,Albuquerque,NE Heights,N/A,Industrial,482381.0,0.002,0.0,0.0,9.0,0.0,,Albuquerque_NE Heights_N/A_Industrial,2024,Q,3,482381.0,0.002,,,1,,0.0,0.0,
