primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
Chino/Chino Hills,,,56511252,3.1,817749,0,1.27,,1500067
Fontana,,,78260246,5.5,3690737,2175047,1.12,,2015465
Jurupa Valley/Eastvale,,,48619400,7.7,56340,428975,1.23,,318386
Ontario/Montclair/Upland,,,125872595,6.4,-239288,3445605,1.22,,2360586
Rancho Cucamonga,,,44394807,4.3,-492643,151455,1.23,,337235
Inland Empire West,,,353658300,5.6,780716,6201082,1.22,1300000,6531739
